feature,back_mean,forward_mean,effect_size,p_value,significant
successful_pass,11.239,0.928,1.049,0.0,True
total_metres_made,32.962,13.495,0.902,0.0,True
support_pos_attack_ruck,3.151,8.328,0.845,0.0,True
linebreak_made,0.711,0.167,0.765,0.0,True
defender_beaten,0.874,0.262,0.7,0.0,True
dominant_tackle,0.321,1.389,0.626,0.0,True
positive_barge,0.459,1.534,0.613,0.0,True
unsuccessful_pass,0.635,0.17,0.609,0.0,True
support_neutral_attack_ruck,0.503,1.324,0.587,0.0,True
tackle_assist,0.874,1.805,0.532,0.0,True
turnover_lost,0.786,0.425,0.445,0.0001,True
gainline_zero,0.346,0.751,0.441,0.0,True
ineffective_barge,0.182,0.498,0.42,0.0,True
support_neg_attack_ruck,0.409,0.939,0.399,0.0002,True
effective_tackle,2.415,3.432,0.392,0.0002,True
in_possession_ineffective_support,0.176,0.45,0.346,0.0,True
unsuccessful_offload,0.107,1.1,0.341,0.0074,True
pen_against,0.239,0.471,0.312,0.0011,True
unsuccessful_tackle,0.648,0.995,0.301,0.0005,True
successful_offload,0.296,0.154,0.301,0.0045,True
linebreak_conceded,0.22,0.109,0.282,0.004,True
missed_tackle,0.579,0.398,0.269,0.0032,True
penalty_try,0.0,0.133,0.268,0.0009,True
turnover_won,0.252,0.443,0.235,0.0317,True
pen_for,0.057,0.152,0.228,0.0072,True
yellow_card,0.025,0.071,0.18,0.0243,True
in_possession_positive_support,2.748,2.527,0.091,0.7829,False
try,0.214,0.174,0.086,0.0539,False
unsuccessful_carry,0.453,0.498,0.061,0.4455,False
gainline_plus,4.006,4.068,0.02,0.8313,False
