model,target,rmse,rmse_std,mae,r2
Random Forest,total_metres_made,19.61898002260802,6.4513422977704495,13.713516019803274,-0.025227274388632037
XGBoost,total_metres_made,21.294384392098728,6.022943807414432,14.483410912452541,-0.2986926835454337
Gradient Boosting,total_metres_made,21.813783687201003,6.105135227975764,14.995698512480265,-0.31963433305077615
Lasso Regression,total_metres_made,22.08183743493195,6.228388886199681,15.400751469922156,-0.3545923310982025
Dummy (mean),total_metres_made,22.350179374999662,7.0710369459170686,16.58865023750364,-0.3127998292167252
Dummy (last game),total_metres_made,22.350179374999662,7.0710369459170686,16.58865023750364,-0.3127998292167252
Ridge Regression,total_metres_made,24.428856947037602,6.563551327664466,17.344409103941665,-0.7133710311596604
Random Forest,effective_tackle,2.4178919483209085,0.4389152348068398,1.8987278974225348,0.05140145894001673
Lasso Regression,effective_tackle,2.4198691360317666,0.32239637885474687,1.9759494690056152,0.045492800123212815
XGBoost,effective_tackle,2.4581062702607794,0.3604570626528633,1.8577601254815839,0.014131017318853334
Dummy (mean),effective_tackle,2.642656976622986,0.32401588791040165,2.122259156154156,-0.13784061053567273
Dummy (last game),effective_tackle,2.642656976622986,0.32401588791040165,2.122259156154156,-0.13784061053567273
Gradient Boosting,effective_tackle,2.707824824091417,0.5155515796096487,2.0144204532676513,-0.21738316564653726
Ridge Regression,effective_tackle,2.7712099810583473,0.3763716007623102,2.2753446563460193,-0.2669638156301685
Dummy (mean),try,0.45209816767284383,0.15146767949704182,0.3281103604232391,-0.2603812706598708
Dummy (last game),try,0.45209816767284383,0.15146767949704182,0.3281103604232391,-0.2603812706598708
Lasso Regression,try,0.4540639577888991,0.1671556562164925,0.31213341578389275,-0.16746264142801304
Random Forest,try,0.47125834423638757,0.17118486637403005,0.3177789101687186,-0.25431297840655304
XGBoost,try,0.476157640628416,0.16880471428055158,0.2964201528214282,-0.3483324592165784
Ridge Regression,try,0.4931690250832264,0.11485620750254008,0.35884573182870144,-0.6495788866460794
Gradient Boosting,try,0.5157431704201141,0.15693254915923402,0.3490282932762512,-0.6334557990621349
Lasso Regression,linebreak_made,0.615767728116786,0.2621451434371021,0.42399684516080854,-0.1981350647075476
Dummy (mean),linebreak_made,0.6292530088588209,0.2790064500256849,0.48290827294372896,-0.26806948923905616
Dummy (last game),linebreak_made,0.6292530088588209,0.2790064500256849,0.48290827294372896,-0.26806948923905616
Random Forest,linebreak_made,0.6531314937595498,0.2496715877273949,0.44637753555685844,-0.4392715585505367
XGBoost,linebreak_made,0.7123240522525788,0.277465460443749,0.4718708480235911,-0.7564558341900742
Gradient Boosting,linebreak_made,0.7238982316489337,0.23755025969954527,0.49303345114776775,-0.8004700726742225
Ridge Regression,linebreak_made,0.8055760795023408,0.2534278759781743,0.5642464970573926,-1.2871749933418413
Random Forest,support_pos_attack_ruck,5.097790787480373,0.7388269783103564,4.021390707120057,0.2533839641585044
Lasso Regression,support_pos_attack_ruck,5.223569650797487,0.776111189284637,4.111492001469872,0.20983081828812206
Gradient Boosting,support_pos_attack_ruck,5.583271281182002,0.9150168775428545,4.342019736331995,0.10675760306428639
XGBoost,support_pos_attack_ruck,5.5871225781418925,0.9487217070397418,4.109483490959147,0.10884409073290027
Ridge Regression,support_pos_attack_ruck,5.784050127556594,0.7958511835010207,4.5859561439602645,0.005094568676024957
Dummy (last game),support_pos_attack_ruck,6.106608899064208,0.7514426142265415,5.0478354464709465,-0.08036858895175522
Dummy (mean),support_pos_attack_ruck,6.106608899064208,0.7514426142265415,5.0478354464709465,-0.08036858895175522
